1392	1.000199	0.000024	0.163452	-0.000024	1.000199	-0.134064
1393	0.999836	-0.000145	-0.195312	0.000145	0.999836	0.040863
1394	1.000136	0.000160	-0.308838	-0.000160	1.000136	0.149506	
1395	0.999870	0.000046	0.220947	-0.000046	0.999870	0.120728	
1396	1.000169	0.000008	-0.333862	-0.000008	1.000169	0.263824	
1397	0.999778	0.000100	-0.173584	-0.000100	0.999778	0.164642	
1398	1.000187	-0.000220	-0.179932	0.000220	1.000187	-0.295654	
1399	0.999744	-0.000195	-0.251831	0.000195	0.999744	0.076294	
1400	1.000166	-0.000195	-0.237915	0.000195	1.000166	-0.207520	
1401	0.999838	-0.000161	0.386597	0.000161	0.999838	-0.395294	
1402	1.000221	-0.000090	-0.224121	0.000090	1.000221	-0.419281	
1403	0.999904	-0.000151	0.196533	0.000151	0.999904	0.026215	
1404	1.000050	-0.000504	-0.239502	0.000504	1.000050	-0.154144	
1405	0.999718	-0.000132	0.458984	0.000132	0.999718	-0.013428	
1406	1.000343	-0.000084	-0.613037	0.000084	1.000343	-0.203766	
1407	0.999612	-0.000103	0.797363	0.000103	0.999612	-0.105835	
1408	1.000277	-0.000141	-0.399902	0.000141	1.000277	-0.632141	
1409	0.999695	-0.000300	-0.462769	0.000300	0.999695	0.109833	
1410	1.000187	-0.000169	0.101196	0.000169	1.000187	-0.140564	
1411	0.999959	-0.000321	0.047485	0.000321	0.999959	-0.187469	
1412	1.000049	-0.000117	0.038086	0.000117	1.000049	-0.228455	
1413	0.999795	-0.000170	0.093994	0.000170	0.999795	-0.159180	
1414	1.000319	-0.000076	-0.437988	0.000076	1.000319	-0.913879	
1415	0.999721	-0.000346	0.323608	0.000346	0.999721	-0.245850	
1416	1.000146	-0.000343	-0.199829	0.000343	1.000146	0.038086	
1417	0.999746	-0.000123	0.131470	0.000123	0.999746	-0.103485	
1418	1.000294	-0.000322	0.038574	0.000322	1.000294	-1.158356	
1419	0.999808	-0.000072	-0.127441	0.000072	0.999808	0.180054	
1420	1.000188	-0.000160	-0.160889	0.000160	1.000188	-0.360260	
1421	0.999732	-0.000148	0.119263	0.000148	0.999732	0.032440	
1422	1.000279	0.000114	-0.944458	-0.000114	1.000279	0.277710	
1423	0.999738	-0.000260	0.794312	0.000260	0.999738	-0.750732	
1424	1.000290	0.000030	-0.566406	-0.000030	1.000290	0.070526	
1425	0.999697	-0.000070	-0.002075	0.000070	0.999697	0.160095	
1426	1.000234	0.000019	-0.416504	-0.000019	1.000234	-0.035583	
1427	0.999923	-0.000053	0.029175	0.000053	0.999923	-0.082428	
1428	1.000129	-0.000009	-0.195435	0.000009	1.000129	-0.164642	
1429	0.999957	-0.000008	0.044678	0.000008	0.999957	0.068024	
1430	0.999973	-0.000005	0.023315	0.000005	0.999973	0.040894	
1431	0.999932	-0.000034	0.185547	0.000034	0.999932	-0.224518	
1432	1.000105	0.000095	-0.460571	-0.000095	1.000105	-0.724304	
1433	1.000006	0.000070	0.014160	-0.000070	1.000006	0.022980	
1434	1.000017	-0.000062	-0.239380	0.000062	1.000017	-0.020660	
1435	0.999984	0.000039	-0.058228	-0.000039	0.999984	-0.176178	
1436	1.000022	-0.000047	0.472534	0.000047	1.000022	-0.690948	
1437	0.999978	-0.000320	-0.222900	0.000320	0.999978	0.114288	
1438	0.999968	0.000180	-0.445312	-0.000180	0.999968	0.241638	
1439	1.000072	-0.000130	-0.086792	0.000130	1.000072	-0.834656	
1440	1.000002	-0.000157	-0.072388	0.000157	1.000002	-0.102692	
1441	0.999914	0.000032	-0.092773	-0.000032	0.999914	0.200439	
1442	1.000031	0.000044	-0.005981	-0.000044	1.000031	-0.336823	
1443	0.999920	-0.000177	0.185669	0.000177	0.999920	-0.078979	
1444	1.000003	-0.000007	0.030884	0.000007	1.000003	0.191711	
1445	0.999963	-0.000036	0.017578	0.000036	0.999963	-0.142609	
1446	1.000197	0.000200	-0.231323	-0.000200	1.000197	-0.402374	
1447	0.999986	-0.000259	0.089111	0.000259	0.999986	-0.294098	
1448	1.000252	0.000082	-0.845825	-0.000082	1.000252	-0.032013	
1449	0.999701	-0.000159	0.543823	0.000159	0.999701	-0.379974	
1450	1.000145	0.000039	-0.266724	-0.000039	1.000145	0.158539	
1451	0.999718	0.000028	0.030151	-0.000028	0.999718	0.235657	
1452	1.000172	0.000101	-0.031738	-0.000101	1.000172	-0.734314	
1453	0.999983	-0.000041	0.065186	0.000041	0.999983	-0.470612	
1454	1.000106	-0.000157	-0.056030	0.000157	1.000106	-0.089844	
1455	0.999800	-0.000047	0.119873	0.000047	0.999800	-0.033691	
1456	1.000155	-0.000073	-0.320190	0.000073	1.000155	-0.228424	
1457	0.999833	0.000246	0.027100	-0.000246	0.999833	0.085754	
1458	1.000324	0.000236	-0.639404	-0.000236	1.000324	-0.211792	
1459	0.999704	0.000317	0.577515	-0.000317	0.999704	0.148254	
1460	1.000075	-0.000041	0.071777	0.000041	1.000075	0.050659	
1461	0.999829	-0.000082	0.088745	0.000082	0.999829	0.031372	
1462	1.000133	0.000536	-0.035889	-0.000536	1.000133	0.025543	
1463	0.999738	-0.000036	0.257935	0.000036	0.999738	-0.444763	
1464	1.000051	0.000181	0.117920	-0.000181	1.000051	0.116547	
1465	0.999880	0.000045	0.036865	-0.000045	0.999880	0.065582	
1466	1.000001	0.000041	0.027222	-0.000041	1.000001	0.042419	
1467	0.999841	0.000077	0.190186	-0.000077	0.999841	0.029663	
1468	1.000008	0.000082	-0.053345	-0.000082	1.000008	-0.013977	
1469	0.999727	0.000246	0.667236	-0.000246	0.999727	-0.101593	
1470	1.000155	0.000054	0.047729	-0.000054	1.000155	-0.180664	
1471	0.999736	-0.000047	0.345459	0.000047	0.999736	0.357239	
1472	1.000117	0.000257	-0.026611	-0.000257	1.000117	0.147583	
1473	0.999861	0.000013	0.173340	-0.000013	0.999861	0.101776	
1474	1.000201	0.000369	0.033325	-0.000369	1.000201	0.050720	
1475	0.999699	0.000219	0.610474	-0.000219	0.999699	0.342010	
1476	1.000265	0.000188	-0.532837	-0.000188	1.000265	0.148529	
1477	0.999795	0.000154	0.088257	-0.000154	0.999795	0.292023	
1478	1.000147	0.000416	0.441895	-0.000416	1.000147	-0.209595	
1479	0.999822	0.000211	0.236694	-0.000211	0.999822	0.301056	
1480	1.000214	0.000273	-0.107666	-0.000273	1.000214	0.078094	
1481	0.999716	0.000083	0.844604	-0.000083	0.999716	0.160309	
1482	1.000297	0.000266	-0.155518	-0.000266	1.000297	0.092682	
1483	0.999853	0.000053	0.402344	-0.000053	0.999853	0.045380	
1484	1.000068	0.000035	-0.025513	-0.000035	1.000068	0.099701	
1485	0.999898	0.000024	0.137085	-0.000024	0.999898	0.076385	
1486	0.999968	-0.000039	0.127075	0.000039	0.999968	-0.162903	
1487	0.999796	-0.000012	0.118286	0.000012	0.999796	-0.172180	
1488	1.000182	0.000015	0.322388	-0.000015	1.000182	-0.304749	
1489	0.999747	0.000051	0.302368	-0.000051	0.999747	-0.297333	
1490	1.000285	0.000142	0.119385	-0.000142	1.000285	0.227570	
1491	0.999612	-0.000075	0.831909	0.000075	0.999612	0.039398	
1492	1.000311	0.000140	0.493408	-0.000140	1.000311	0.038513	
1493	0.999671	-0.000161	0.108032	0.000161	0.999671	-0.038971	
1494	1.000095	0.000137	0.112549	-0.000137	1.000095	-0.003174	
1495	0.999812	-0.000017	0.419800	0.000017	0.999812	0.003174	
1496	1.000132	0.000068	-0.012573	-0.000068	1.000132	-0.033447	
1497	0.999645	0.000149	0.627930	-0.000149	0.999645	0.280487	
1498	1.000131	-0.000060	0.143311	0.000060	1.000131	-0.110809	
1499	0.999844	0.000077	0.363403	-0.000077	0.999844	0.263000	
1500	1.000022	-0.000040	0.218018	0.000040	1.000022	0.076782	
1501	0.999759	-0.000067	0.407959	0.000067	0.999759	-0.037903	
1502	1.000071	0.000008	-0.036499	-0.000008	1.000071	-0.092407	
1503	0.999663	-0.000075	0.724243	0.000075	0.999663	-0.057953	
1504	1.000140	-0.000130	0.092163	0.000130	1.000140	0.051819	
1505	0.999783	-0.000300	0.484375	0.000300	0.999783	0.237762	
1506	1.000104	0.000152	0.015991	-0.000152	1.000104	0.123627	
1507	0.999823	0.000034	0.013794	-0.000034	0.999823	0.236511	
1508	1.000154	-0.000057	-0.345093	0.000057	1.000154	-0.285980	
1509	0.999771	0.000001	0.321411	-0.000001	0.999771	0.090576	
1510	1.000044	-0.000258	0.278931	0.000258	1.000044	-0.670654	
1511	0.999672	0.000125	0.712524	-0.000125	0.999672	0.596741	
1512	1.000401	-0.000095	0.222290	0.000095	1.000401	0.591278	
1513	0.999509	0.000068	0.453857	-0.000068	0.999509	0.304993	
1514	1.000163	0.000065	-0.361816	-0.000065	1.000163	-0.049438	
1515	0.999720	0.000036	0.522827	-0.000036	0.999720	0.561035	
1516	1.000072	0.000064	0.053955	-0.000064	1.000072	-0.047760	
1517	0.999866	0.000030	0.335938	-0.000030	0.999866	0.279907	
1518	1.000040	0.000049	0.008911	-0.000049	1.000040	0.032654	
1519	0.999941	-0.000044	0.318481	0.000044	0.999941	-0.228790	
1520	1.000135	0.000000	-0.026611	-0.000000	1.000135	-0.106171	
1521	0.999864	0.000074	0.224976	-0.000074	0.999864	0.701630	
1522	1.000063	0.000036	-0.118408	-0.000036	1.000063	0.202850	
1523	0.999847	0.000104	0.239746	-0.000104	0.999847	0.292633	
1524	1.000136	-0.000009	-0.277832	0.000009	1.000136	-0.130859	
1525	0.999703	0.000291	-0.180542	-0.000291	0.999703	0.132355	
1526	1.000213	-0.000081	-0.096680	0.000081	1.000213	-0.329620	
1527	0.999791	-0.000113	0.144653	0.000113	0.999791	0.131470	
1528	1.000041	-0.000049	0.021484	0.000049	1.000041	-0.025543	
1529	0.999855	-0.000273	0.244263	0.000273	0.999855	-0.512878	
1530	1.000132	-0.000304	-0.275635	0.000304	1.000132	-0.758759	
1531	0.999590	0.000161	-0.038452	-0.000161	0.999590	0.478943	
1532	1.000282	0.000188	-0.045288	-0.000188	1.000282	-0.061127	
1533	0.999709	-0.000477	-0.197754	0.000477	0.999709	-0.369965	
1534	1.000181	0.000066	-0.855103	-0.000066	1.000181	0.231903	
1535	0.999590	0.000191	0.680664	-0.000191	0.999590	0.790039	
1536	1.000221	0.000030	-0.009521	-0.000030	1.000221	-0.609283	
1537	0.999942	0.000202	-0.211548	-0.000202	0.999942	0.072021	
1538	1.000041	-0.000094	0.154907	0.000094	1.000041	-0.262238	
1539	0.999946	-0.000188	-0.118774	0.000188	0.999946	-0.264069	
1540	1.000215	-0.000149	-0.890625	0.000149	1.000215	-0.419281	
1541	0.999931	-0.000086	-0.369385	0.000086	0.999931	-0.211670	
1542	1.000011	-0.000045	-0.112183	0.000045	1.000011	-0.088074	
1543	0.999933	-0.000064	0.073486	0.000064	0.999933	-0.238617	
1544	1.000093	0.000182	-0.339111	-0.000182	1.000093	-0.536743	
1545	1.000019	-0.000061	-0.382324	0.000061	1.000019	-0.062042	
1546	0.999951	-0.000039	-0.591553	0.000039	0.999951	0.155731	
1547	0.999954	-0.000038	-0.139038	0.000038	0.999954	0.271454	
1548	0.999929	-0.000083	0.088379	0.000083	0.999929	0.000549	
1549	0.999950	0.000094	-0.891357	-0.000094	0.999950	0.322388	
1550	0.999962	0.000085	-0.083252	-0.000085	0.999962	0.056305	
1551	0.999975	0.000074	0.048828	-0.000074	0.999975	0.061432	
1552	1.000018	0.000138	-0.109497	-0.000138	1.000018	-0.056519	
1553	0.999915	0.000176	-0.491333	-0.000176	0.999915	0.167908	
1554	0.999961	-0.000029	-0.112549	0.000029	0.999961	-0.053619	
1555	1.000123	0.000076	-0.685181	-0.000076	1.000123	-0.485687	
1556	0.999975	0.000124	-0.260864	-0.000124	0.999975	0.051025	
1557	1.000041	-0.000027	-0.322754	0.000027	1.000041	0.183350	
1558	0.999939	-0.000105	-0.781982	0.000105	0.999939	-0.145477	
1559	1.000133	0.000103	-0.635742	-0.000103	1.000133	-0.228241	
1560	0.999963	-0.000088	-0.058105	0.000088	0.999963	-0.532257	
1561	1.000015	0.000143	-0.959351	-0.000143	1.000015	0.028503	
1562	0.999978	0.000088	0.059326	-0.000088	0.999978	0.162598	
1563	1.000028	0.000102	-0.362915	-0.000102	1.000028	0.207977	
1564	1.000081	0.000062	-0.068970	-0.000062	1.000081	0.066498	
1565	0.999757	0.000027	-0.127441	-0.000027	0.999757	0.125702	
