1203	0.999527	-0.000493	0.534668	0.000493	0.999527	-0.722168
1204	0.998051	-0.000498	1.220337	0.000498	0.998051	-0.561676	
1205	0.999012	-0.000504	0.744446	0.000504	0.999012	-0.619873	
1206	0.998742	-0.000835	1.131165	0.000835	0.998742	-0.802155	
1207	0.998520	-0.000807	1.250732	0.000807	0.998520	-0.890533	
1208	0.998018	-0.000796	1.513611	0.000796	0.998018	-0.610321	
1209	0.998741	-0.000557	1.108215	0.000557	0.998741	-0.692657	
1210	0.998986	-0.000722	0.771851	0.000722	0.998986	-0.594330	
1211	0.998912	-0.000378	0.934998	0.000378	0.998912	-0.346863	
1212	0.998107	-0.000624	1.463074	0.000624	0.998107	-0.738281	
1213	0.998443	-0.000530	1.212952	0.000530	0.998443	-0.397675	
1214	0.998378	-0.000458	1.159180	0.000458	0.998378	-0.498108	
1215	0.998683	-0.000644	1.256287	0.000644	0.998683	-0.609772	
1216	0.998189	-0.000570	1.181458	0.000570	0.998189	-0.381409	
1217	0.998276	-0.000495	1.224304	0.000495	0.998276	-0.294189	
1218	0.998601	-0.000787	1.065796	0.000787	0.998601	-0.568268	
1219	0.999162	-0.000771	1.151245	0.000771	0.999162	-0.794891	
1220	0.998853	-0.000333	0.963745	0.000333	0.998853	-0.479614	
1221	0.998248	-0.000677	1.269073	0.000677	0.998248	-0.459351	
1222	0.998397	-0.000495	1.216797	0.000495	0.998397	-0.409302	
1223	0.998679	-0.000392	1.044861	0.000392	0.998679	-0.411316	
1224	0.998575	-0.000581	1.126343	0.000581	0.998575	-0.392303	
1225	0.999130	-0.000387	0.571716	0.000387	0.999130	-0.384003	
1226	0.998795	-0.000396	0.823059	0.000396	0.998795	-0.398712	
1227	0.998124	-0.000749	1.364502	0.000749	0.998124	-0.617020	
1228	0.999078	-0.000585	0.754395	0.000585	0.999078	-0.383087	
1229	0.999182	-0.000764	0.761780	0.000764	0.999182	-0.739502	
1230	0.998107	-0.000439	1.280151	0.000439	0.998107	-0.312469	
1231	0.998124	-0.000853	1.309753	0.000853	0.998124	-0.753998	
