1658	0.999690	0.000067	0.129700	-0.000067	0.999690	0.317810
1659	1.000069	-0.000004	0.077332	0.000004	1.000069	-0.232788	
1660	1.000147	0.000014	-0.003601	-0.000014	1.000147	-0.624634	
1661	1.000422	0.000254	-0.388184	-0.000254	1.000422	-0.375488	
1662	1.000044	-0.000212	0.261047	0.000212	1.000044	-0.213318	
1663	1.000010	-0.000096	0.166016	0.000096	1.000010	-0.263062	
1664	1.000056	0.000517	-0.377869	-0.000517	1.000056	0.067566	
1665	1.000317	0.000455	-0.542786	-0.000455	1.000317	-0.013794	
1666	0.999943	0.000121	-0.201233	-0.000121	0.999943	0.003418	
1667	1.000114	0.000004	0.124695	-0.000004	1.000114	-0.285889	
1668	0.999898	-0.000118	0.185120	0.000118	0.999898	-0.764648	
1669	0.999464	-0.000094	0.755737	0.000094	0.999464	-0.063477	
1670	0.999750	0.000227	-0.100037	-0.000227	0.999750	0.021790	
1671	1.000084	0.000091	-0.126221	-0.000091	1.000084	-0.133789	
1672	0.999837	0.000220	0.078125	-0.000220	0.999837	0.108521	
1673	1.000193	-0.000179	0.023071	0.000179	1.000193	-0.307861	
1674	1.000054	-0.000016	-0.016846	0.000016	1.000054	-0.146423	
1675	1.000322	0.000008	-0.230286	-0.000008	1.000322	-0.170532	
1676	1.000112	0.000197	-0.077026	-0.000197	1.000112	0.029114	
1677	1.000482	0.000137	-0.278992	-0.000137	1.000482	-0.290955	
1678	0.999718	-0.000056	0.368591	0.000056	0.999718	0.004028	
1679	1.000106	0.000115	-0.226868	-0.000115	1.000106	-0.225952	
1680	1.000000	0.000190	-0.093994	-0.000190	1.000000	-0.066956	
1681	1.000118	-0.000068	0.086121	0.000068	1.000118	-0.459534	
1682	1.000076	-0.000092	0.133240	0.000092	1.000076	-0.151855	
1683	1.000111	0.000138	-0.275391	-0.000138	1.000111	-0.111328	
1684	0.999962	0.000141	0.074585	-0.000141	0.999962	0.064514	
1685	1.000310	0.000121	-0.240906	-0.000121	1.000310	-0.066284	
1686	0.999929	0.000001	0.034851	-0.000001	0.999929	0.039612	
1687	1.000076	0.000089	-0.209106	-0.000089	1.000076	0.065613	
1688	0.999958	0.000230	0.007874	-0.000230	0.999958	-0.026184	
1689	1.000156	0.000280	-0.151611	-0.000280	1.000156	-0.167908	
1690	1.000198	0.000314	-0.172913	-0.000314	1.000198	-0.036987	
1691	1.000183	-0.000249	0.002930	0.000249	1.000183	-0.329956	
1692	1.000113	0.000224	-0.212280	-0.000224	1.000113	0.153381	
1693	1.000160	0.000076	0.044434	-0.000076	1.000160	-0.039795	
1694	1.000131	0.000236	-0.171631	-0.000236	1.000131	-0.165527	
1695	1.000186	-0.000133	0.016846	0.000133	1.000186	-0.275879	
1696	0.999734	0.000209	-0.063416	-0.000209	0.999734	0.210754	
1697	1.000202	-0.000014	0.076294	0.000014	1.000202	0.021179	
1698	0.999943	0.000270	-0.174866	-0.000270	0.999943	0.047668	
1699	1.000082	0.000188	0.031616	-0.000188	1.000082	-0.359802	
1700	1.000009	0.000152	0.050293	-0.000152	1.000009	-0.401611	
1701	1.000275	-0.000024	-0.216614	0.000024	1.000275	-0.244080	
1702	1.000036	-0.000123	0.019897	0.000123	1.000036	0.074097	
1703	1.000211	0.000164	-0.265076	-0.000164	1.000211	-0.052124	
1704	1.000010	0.000039	-0.022583	-0.000039	1.000010	-0.053162	
1705	1.000300	-0.000012	0.088501	0.000012	1.000300	-0.212585	
1706	1.000144	-0.000096	0.014587	0.000096	1.000144	-0.230835	
1707	1.000201	-0.000095	-0.072083	0.000095	1.000201	-0.194702	
1708	0.999693	0.000023	0.279785	-0.000023	0.999693	0.265869	
1709	1.000510	0.000398	-0.122070	-0.000398	1.000510	-0.266663	
1710	0.999846	-0.000125	0.037842	0.000125	0.999846	-0.099426	
1711	0.999963	-0.000091	0.064148	0.000091	0.999963	-0.174011	
1712	0.999962	0.000683	-0.301697	-0.000683	0.999962	0.387573	
1713	1.000045	-0.000001	-0.017883	0.000001	1.000045	-0.064758	
1714	0.999767	-0.000058	0.316467	0.000058	0.999767	-0.002563	
1715	1.000225	-0.000095	0.095459	0.000095	1.000225	-0.392761	
1716	1.000176	0.000357	-0.238770	-0.000357	1.000176	-0.114807	
1717	1.000055	0.000112	0.406494	-0.000112	1.000055	0.013367	
1718	1.000127	0.000026	0.007080	-0.000026	1.000127	-0.119263	
1719	1.000121	-0.000197	0.095642	0.000197	1.000121	-0.517883	
1720	0.999977	0.000233	-0.100464	-0.000233	0.999977	-0.042114	
1721	1.000184	-0.000063	-0.217834	0.000063	1.000184	-0.131104	
1722	0.999860	-0.000207	0.322266	0.000207	0.999860	0.034607	
1723	1.000234	-0.000083	-0.129333	0.000083	1.000234	-0.028625	
1724	0.999815	0.000279	0.077759	-0.000279	0.999815	0.170471	
1725	1.000127	0.000005	-0.100769	-0.000005	1.000127	-0.138245	
1726	0.999958	0.000116	-0.028625	-0.000116	0.999958	0.047302	
1727	1.000162	-0.000073	0.160706	0.000073	1.000162	-0.160339	
1728	1.000142	0.000031	0.034058	-0.000031	1.000142	-0.113525	
1729	1.000074	0.000157	0.368347	-0.000157	1.000074	0.057373	
1730	0.999982	0.000094	0.086853	-0.000094	0.999982	-0.198364	
1731	1.000110	0.000160	-0.107666	-0.000160	1.000110	-0.153259	
1732	0.999812	0.000020	0.230835	-0.000020	0.999812	-0.061707	
1733	1.000168	0.000010	-0.038147	-0.000010	1.000168	-0.042358	
1734	0.999881	-0.000044	0.366333	0.000044	0.999881	0.095032	
1735	1.000031	0.000107	-0.031677	-0.000107	1.000031	-0.065308	
1736	1.000098	0.000440	-0.183899	-0.000440	1.000098	-0.298096	
1737	1.000053	0.000170	-0.085693	-0.000170	1.000053	-0.299988	
1738	1.000029	0.000395	-0.279053	-0.000395	1.000029	-0.052002	
1739	1.000062	0.000553	-0.254089	-0.000553	1.000062	0.270569	
1740	1.000003	0.000298	-0.090088	-0.000298	1.000003	-0.234497	
1741	1.000201	-0.000006	0.314209	0.000006	1.000201	-0.329590	
1742	0.999832	0.000081	-0.209595	-0.000081	0.999832	-0.246643	
1743	1.000116	0.000325	-0.226318	-0.000325	1.000116	0.002075	
1744	0.999972	0.000177	-0.064453	-0.000177	0.999972	-0.046753	
1745	1.000142	0.000162	0.045776	-0.000162	1.000142	-0.503418	
1746	0.999561	0.000433	0.045776	-0.000433	0.999561	0.256592	
1747	1.000160	-0.000015	0.012634	0.000015	1.000160	-0.434265	
1748	1.000004	-0.000228	0.247986	0.000228	1.000004	-0.465088	
1749	1.000260	0.000295	-0.259460	-0.000295	1.000260	-0.239990	
1750	0.999750	0.000119	0.046692	-0.000119	0.999750	-0.217102	
1751	1.000184	0.000137	-0.029358	-0.000137	1.000184	-0.510620	
1752	1.000001	0.000063	-0.089172	-0.000063	1.000001	-0.107056	
1753	0.999881	0.000586	0.030029	-0.000586	0.999881	0.024597	
1754	0.999787	0.000145	0.338501	-0.000145	0.999787	-0.391663	
1755	1.000223	0.000113	-0.152710	-0.000113	1.000223	-0.645142	
1756	0.999771	0.000194	-0.046997	-0.000194	0.999771	-0.052246	
1757	0.999942	0.000147	0.015076	-0.000147	0.999942	-0.208374	
1758	0.999909	-0.000072	0.118103	0.000072	0.999909	-0.088928	
1759	1.000003	0.000473	-0.072144	-0.000473	1.000003	-0.060181	
1760	1.000128	-0.000084	-0.158508	0.000084	1.000128	-0.339661	
1761	0.999666	0.000506	-0.444519	-0.000506	0.999666	0.231934	
1762	0.999925	0.000341	-0.067444	-0.000341	0.999925	0.084595	
1763	1.000327	0.000345	-0.298157	-0.000345	1.000327	-0.168640	
1764	0.999962	0.000198	-0.077087	-0.000198	0.999962	-0.176086	
1765	1.000234	-0.000035	-0.406250	0.000035	1.000234	-0.333130	
1766	0.999816	0.000082	0.150513	-0.000082	0.999816	-0.148865	
1767	1.000452	0.000907	-0.677490	-0.000907	1.000452	-0.076599	
1768	1.000239	0.000205	-0.350708	-0.000205	1.000239	-0.374817	
1769	1.000218	-0.000010	0.146606	0.000010	1.000218	-0.594788	
1770	1.000091	0.000183	-0.192078	-0.000183	1.000091	-0.221436	
1771	1.000164	0.000032	-0.144897	-0.000032	1.000164	-0.272095	
1772	0.999842	0.000370	-0.074463	-0.000370	0.999842	0.307434	
1773	1.000209	0.000017	-0.118652	-0.000017	1.000209	-0.350891	
1774	1.000005	-0.000050	0.072510	0.000050	1.000005	-0.163696	
1775	1.000206	0.000026	-0.090576	-0.000026	1.000206	-0.192444	
1776	0.999937	0.000102	-0.234192	-0.000102	0.999937	-0.298584	
1777	1.000220	0.000060	-0.049866	-0.000060	1.000220	-0.259338	
1778	1.000059	0.000117	-0.035767	-0.000117	1.000059	-0.222717	
1779	1.000136	-0.000033	-0.314697	0.000033	1.000136	-0.319336	
1780	1.000050	0.000106	-0.090576	-0.000106	1.000050	-0.184448	
1781	1.000229	0.000139	-0.258301	-0.000139	1.000229	-0.071655	
1782	0.999904	0.000334	-0.011475	-0.000334	0.999904	0.161987	
1783	1.000211	-0.000045	-0.081177	0.000045	1.000211	-0.265076	
1784	1.000153	0.000140	-0.022400	-0.000140	1.000153	-0.222107	
1785	1.000134	0.000013	-0.033691	-0.000013	1.000134	-0.098267	
1786	1.000020	0.000702	-0.725220	-0.000702	1.000020	0.236694	
1787	1.000201	0.000020	-0.101990	-0.000020	1.000201	-0.189819	
1788	1.000068	0.000067	0.046387	-0.000067	1.000068	0.014099	
1789	1.000256	-0.000134	0.020386	0.000134	1.000256	-0.390076	
1790	1.000011	0.000142	-0.124573	-0.000142	1.000011	0.220703	
1791	1.000251	0.000041	0.081543	-0.000041	1.000251	-0.255981	
1792	0.999988	0.000299	-0.142212	-0.000299	0.999988	0.124268	
1793	1.000166	0.000917	-0.748779	-0.000917	1.000166	0.129761	
1794	1.000056	-0.000363	0.348694	0.000363	1.000056	-0.191528	
1795	1.000257	0.000060	-0.107788	-0.000060	1.000257	-0.174133	
1796	1.000026	-0.000014	0.169006	0.000014	1.000026	-0.030945	
1797	0.999985	0.000315	-0.047363	-0.000315	0.999985	0.270264	
1798	0.999667	-0.000071	1.060486	0.000071	0.999667	-0.607666	
1799	1.000101	0.000508	-0.087524	-0.000508	1.000101	0.395386	
1800	1.000038	0.000186	0.036621	-0.000186	1.000038	0.084290	
1801	0.999803	0.000599	-0.250427	-0.000599	0.999803	0.416687	
1802	1.000009	0.000370	-0.131409	-0.000370	1.000009	0.159912	
1803	0.999852	0.000639	-0.245117	-0.000639	0.999852	0.591125	
1804	0.999932	0.000194	0.024658	-0.000194	0.999932	0.079346	
1805	0.999928	0.000499	-0.282593	-0.000499	0.999928	0.431519	
1806	0.999974	0.000331	0.070068	-0.000331	0.999974	0.066406	
1807	1.000017	0.000355	-0.175842	-0.000355	1.000017	-0.013062	
1808	0.999545	-0.000251	0.458984	0.000251	0.999545	0.174194	
1809	0.999952	-0.000044	-0.065186	0.000044	0.999952	1.099915	
1810	0.999936	0.000143	-0.030701	-0.000143	0.999936	0.075256	
1811	1.000051	0.000184	-0.205078	-0.000184	1.000051	0.005127	
1812	1.000005	-0.000201	0.169922	0.000201	1.000005	0.109680	
1813	1.000094	-0.000089	0.071533	0.000089	1.000094	0.361877	
1814	0.999819	0.000485	0.158203	-0.000485	0.999819	0.842651	
